time,data
0,19.550915675323
0.015625,21.0035223492047
0.03125,20.5399370274751
0.046875,18.8331661991746
0.0625,29.7851414157488
0.078125,31.3521785667701
0.09375,23.4959821378334
0.109375,26.2620364423094
0.125,34.3435898000674
0.140625,41.7734804565278
0.15625,40.6455242728403
0.171875,42.1685727830309
0.1875,40.2555690982853
0.203125,41.1328327688082
0.21875,52.4881328550883
0.234375,53.3064367882609
0.25,41.855992831533
0.265625,37.3456400641182
0.28125,39.1673418760559
0.296875,39.1340935298895
0.3125,39.8368296819975
0.328125,31.5282095897547
0.34375,27.2819899809884
0.359375,24.8857054562765
0.375,28.091829980221
0.390625,29.7101135210764
0.40625,24.1879906069623
0.421875,17.5623374433326
0.4375,10.4361906833216
0.453125,28.5330463048117
0.46875,25.0498057223321
0.484375,4.25198625994778
0.5,9.2314355337878
0.515625,16.4762348818927
0.53125,24.5260678652545
0.546875,32.070742281107
0.5625,43.9494012875776
0.578125,48.6200718434621
0.59375,46.2222019856188
0.609375,45.0391586278002
0.625,40.0216560910978
0.640625,54.1700467509743
0.65625,65.9118598161427
0.671875,76.9150409167184
0.6875,88.3474840071957
0.703125,70.8806175529691
0.71875,60.2282653215542
0.734375,79.1833020408994
0.75,81.9974077399875
0.765625,76.5508797815326
0.78125,84.0011466853576
0.796875,85.0399318277332
0.8125,91.810407274629
0.828125,81.8846145197314
0.84375,79.0162599964131
0.859375,96.2538888562037
0.875,98.4965007891991
0.890625,93.5081278079955
0.90625,94.1371553725314
0.921875,99.0494210329844
0.9375,99.145643186306
0.953125,99.0850245193907
0.96875,95.7883452301702
0.984375,95.1432281444186
1,94.0616352543451
1.015625,91.9229426569248
1.03125,92.9765834782135
1.046875,87.7004787713509
1.0625,81.7367099239187
1.078125,77.6102856279693
1.09375,68.1090386684484
1.109375,62.2771674676133
1.125,60.4394543718037
1.140625,60.9684497802791
1.15625,64.6323746008167
1.171875,60.9820673148768
1.1875,56.9851101708914
1.203125,51.9644977979268
1.21875,51.9019744292004
1.234375,51.7915708124286
1.25,48.4729238685859
1.265625,50.7698853815568
1.28125,49.7784871953318
1.296875,51.0732487190949
1.3125,52.318553203321
1.328125,49.8521915604197
1.34375,52.3373675878626
1.359375,57.5742415264397
1.375,58.5417736262483
1.390625,61.1672924945276
1.40625,63.2658253428337
1.421875,66.2032433587259
1.4375,70.566648897318
1.453125,65.8320684560223
1.46875,71.4213052397296
1.484375,81.1133964840012
1.5,77.5478912619807
1.515625,80.2276922891432
1.53125,84.8310849892485
1.546875,80.5139208001847
1.5625,80.2932603829338
1.578125,84.7576953627613
1.59375,85.4240865787545
1.609375,83.6788078556892
1.625,87.1860965373721
1.640625,96.8718722203744
1.65625,96.9309498358826
1.671875,90.4733651109672
1.6875,90.8162327215781
1.703125,90.2275827999896
1.71875,88.4963500668692
1.734375,92.2837652177862
1.75,91.3174486771946
1.765625,87.2317193300356
1.78125,88.5458117209874
1.796875,85.2375314348382
1.8125,80.7493239118481
1.828125,77.0822261353336
1.84375,72.8059018465697
1.859375,68.4247617751642
1.875,64.9333901938627
1.890625,64.4717268600186
1.90625,61.7066305044082
1.921875,55.9629273675853
1.9375,52.4675339833384
1.953125,53.9641392347752
1.96875,49.7242278990571
1.984375,44.7033604453897
2,46.3035794118762
2.015625,51.018099539922
2.03125,57.8725511382955
2.046875,55.7598628520766
2.0625,47.1464741059802
2.078125,46.3904327746037
2.09375,46.2427527154713
2.109375,45.9174070209743
2.125,44.3718407062167
2.140625,42.8128018171903
2.15625,48.5540594506029
2.171875,49.67888578399
2.1875,49.1370549491648
2.203125,52.1628629577756
2.21875,52.1781753843524
2.234375,42.3251013403583
2.25,41.9997224290643
2.265625,46.7765184441531
2.28125,41.8920036570063
2.296875,46.6391028958008
2.3125,50.5709799236743
2.328125,46.6455888143515
2.34375,40.4294977147663
2.359375,34.6869367438262
2.375,34.511126385574
2.390625,30.907303287111
2.40625,23.2567688946753
2.421875,16.2027718187059
2.4375,7.31350541144062
2.453125,2.95535541784813
2.46875,1.03876484178197
2.484375,0.925577228739115
2.5,4.8620398889008
2.515625,7.57474163281444
2.53125,7.09219776859722
2.546875,1.72187196731703
2.5625,-2.37488879290618
2.578125,-5.23201663614943
2.59375,-6.63193548013076
2.609375,-6.94519385222853
2.625,-7.11549060507474
2.640625,-7.20573987050757
2.65625,-13.798182903375
2.671875,-19.7571450616727
2.6875,-15.5073345798138
2.703125,-6.1473031787167
2.71875,-6.9810627425406
2.734375,-13.7063920943089
2.75,-16.2815978198005
2.765625,-15.0813131714748
2.78125,-10.3064013600238
2.796875,-11.8010976245172
2.8125,-10.2597943380995
2.828125,-1.0342711064189
2.84375,-0.88312429671829
2.859375,-7.68652103172591
